Name,Ingredients,Making,Link,Base
Bulldog Smash,"['6 mint leaves', '1/2 lemon', '1/2 peach', '1 teaspoon simple syrup', '2 ounces bourbon', '3/4 ounce Cointreau', 'mint sprig']","In a shaker, muddle the mint leaves, lemon, peach and simple syrup.
Add the bourbon and Cointreau, plus ice, and shake until well-chilled.
Strain into an Old Fashioned glass filled with crushed ice.
Garnish with a sprig of fresh mint.
Firmly slap the mint sprig on the back of your hand before garnishing; this releases the oils to make the mint more aromatic.",https://www.liquor.com/recipes/the-bulldog-smash/,N/A
Summer Rye,"['1 1/2 ounce Sazerac rye whiskey', '3/4 ounce St-Germain elderflower liqueur', '1/4 ounce simple syrup', '3/4 ounce lemon juice, freshly squeezed', '1 ounce Fuji apple juice', 'Champagne, chilled, to top (approximately 3/4 ounce)', 'Garnish: apple cubes']","Add the rye whiskey, elderflower liqueur, simple syrup, lemon juice and Fuji apple juice to a shaker with ice and shake until well-chilled.
Double-strain into a rocks glass filled with fresh ice.
Top with the Champagne.
Garnish with diced apple cubes.",https://www.liquor.com/recipes/summer-rye/,N/A
Bourbon Rosemary Punch,"['1 bottle rosemary-infused Aperol (750 mL)*', '12 ounces bourbon', '6 ounces honey syrup', '6 ounces grapefruit juice, freshly squeezed', '1 bottle dry sparkling wine (750 mL), to top', '1 bottle soda water (750 mL), to top', 'Garnish: 16 grapefruit wheels', 'Garnish: 16 rosemary sprigs']","Serves approximately 16.
Combine the rosemary-infused Aperol, bourbon, honey syrup and grapefruit juice in a punch bowl and add large ice cubes.
For each serving, ladle 3 ounces of punch into a punch glass filled with ice cubes.
Top with a splash of sparkling wine and a splash of soda water.
Garnish with a grapefruit wheel and a rosemary sprig.
*Rosemary-infused Aperol: Place 4 sprigs of rosemary in a 750 mL bottle of Aperol and let sit for 6 hours at room temperature, then strain out herbs.",https://www.liquor.com/recipes/bourbon-rosemary-punch/,N/A
Peach Beer Julep,"['2 peach slices (or other stone fruit)', '2 ounces bourbon', '1/2 ounce syrup*', 'Garnish: mint sprigs']","Add the peach slices into a Julep cup and muddle.
Add the bourbon and IPA syrup and crushed ice, and swizzle with a bar spoon or swizzle stick.
Add more crushed ice and repeat until the Julep cup is 3/4 full.
Top with crushed ice to create a mounded effect.
Garnish with mint sprigs.
*IPA syrup: Add 1/2 cup IPA-style beer and 1/2 cup demerara sugar into a saucepan over medium-low heat, stirring until sugar has dissolved. Remove from heat and allow to cool. Will keep, refrigerated, for up to one week.",https://www.liquor.com/peach-beer-julep-cocktail-recipe-5116337,N/A
Bourbon Rickey,"['1 1/2 ounces bourbon', '1/2 lime', 'Sparkling water']","Fill a highball glass with ice.
Squeeze the lime half into the glass and drop it in.
Add the bourbon and fill with sparkling water.
Stir briefly to combine.",https://www.liquor.com/recipes/bourbon-rickey/,N/A
Coal Miner’s Daughter,"['1 1/2 ounces bourbon', '3/4 ounce lemon juice', '3/4 ounce honey', '1 teaspoon ginger syrup', '1 sprig lavender', 'lavender sprig']","Add the bourbon, lemon juice, honey, ginger syrup and lavender sprig into a shaker with ice, and shake until well-chilled.
Strain into a rocks glass filled with one large ice cube.
Slap a lavender sprig on the back of your hand to release its aromas, then use the sprig to garnish the drink.",https://www.liquor.com/recipes/coal-miners-daughter/,N/A
High Tide,"['1 ounce Cointreau', '1 ounce Japanese whisky', '1/2 ounce lemon juice, freshly squeezed', '1/2 ounce green tea syrup*', 'Tonic water, to top', 'Garnish: 2 green apple slices']","Add all ingredients into a shaker with ice and shake until well-chilled.
Strain into a Collins or highball glass over fresh ice.
Top with the tonic water and stir gently to combine.
Garnish with the apple slices.
*Green tea syrup: Bring 1/2 cup water to a boil. Remove from heat, add 1 green tea bag, and let steep for 5 minutes. Remove the tea bag and add 1/2 cup sugar, and stir until sugar is dissolved. Let cool completely before using. Will keep, refrigerated in an airtight container, for up to a week.",https://www.liquor.com/high-tide-cocktail-recipe-5079883,N/A
Sweet Tea Smash,"['2 lemon wedges', '4 mint leaves', '1 ounce whiskey', '1 teaspoon Strega', '1 ounce unsweetened iced tea', '1 teaspoon cane syrup', 'mint sprig']","In a shaker, muddle the lemon wedges and mint leaves.
Add the whiskey, Strega, iced tea and cane syrup with ice, and shake until well-chilled.
Strain into a Collins glass filled with fresh ice and garnish with a sprig of mint.",https://www.liquor.com/recipes/sweet-tea-smash/,N/A
Benton’s Old Fashioned,"['2 ounces fat-washed Four Roses bourbon', '1/4 ounce maple syrup', '2 dashes bitters', 'orange twist']","Add the fat-washed bourbon, maple syrup and bitters into a mixing glass with ice and stir until well-chilled.
Strain into a rocks glass over one large ice cube.
Express the oil of an orange twist over the cocktail and drop in the twist.
*Fat-washed Four Roses bourbon (from Jim Meehan’s “The PDT Cocktail Book”): In a cambro/container, combine 1 750 mL bottle of Four Roses bourbon and 1 1/2 ounces liquified fat from Benton’s Smoky Mountain country ham. Set aside for 4 hours to infuse. Place the container in the freezer for 2 hours. Take the container out of the freezer, and strain the bourbon from the solidified fat with terry cloth or cheesecloth.",https://www.liquor.com/recipes/bentons-old-fashioned/,N/A
Normandie Old Fashioned,"['3 ounces coconut-infused bourbon*', '1/4 ounce Laird’s apple brandy', '1/4 ounce spiced almond demerara syrup**', '1 dash Angostura bitters', 'Garnish: dried apple slice']","Add the coconut-infused bourbon, apple brandy, spiced almond demerara syrup and bitters to a mixing glass with ice and stir until well-chilled.
Strain into a rocks glass over fresh ice.
Garnish with a dried apple slice.
*Coconut-infused bourbon: Toast 3 1/2 tablespoons coconut flakes over medium heat for 5 minutes or until slightly golden. Combine the flakes with a 750-mL bottle of bourbon and place in a hot water bath at 145°F for 2 hours. Remove from hot water bath, and place in an ice bath until cooled. Strain into a quart container and freeze for 24 hours, remove all solids, and rebottle.
**Spiced almond demerara syrup: Combine 3/4 cup plus 2 tablespoons demerara sugar and 7 tablespoons water in a saucepan over low heat, stirring until sugar is dissolved. Add 1 1/2 tablespoons sliced almonds, 1 teaspoon cinnamon bark and 1 pinch ground cloves. Simmer for 10 minutes, stirring occasionally. Remove from heat, allow to cool and strain out solids. Refrigerate between uses.",https://www.liquor.com/recipes/normandie-old-fashioned/,N/A
Bourbon Toscano,"['2 1/2 ounces Kentucky straight bourbon', '1/2 ounce Aperol', '2 dashes Addition rosemary cocktail spice bitters', 'Smoked ice cubes*', 'Garnish: dehydrated rosemary sprig', 'Garnish: dehydrated orange wheel']","Add all ingredients into a mixing glass with ice and stir until well-chilled.
Strain into an Old Fashioned glass over the smoked ice cubes.
Garnish with a dehydrated rosemary sprig and dehydrated orange wheel.
*Smoked ice cubes: Fill a smoker with cherrywood chips (or add a smoker box filled with cherrywood chips to a grill). Fill metal containers with water, set inside the smoker or grill, and close the lid. Smoke for 30 minutes or until desired flavor is achieved. Freeze the smoked water in ice cube trays.",https://www.liquor.com/recipes/bourbon-toscano/,N/A
Bourbon & Berries,"['2 ounces bourbon', '1 barspoon strawberry-vanilla syrup*', '3 dashes Angostura bitters', 'Garnish: orange twist']","Add the bourbon, strawberry-vanilla syrup and Angostura bitters to a double rocks glass filled with 1 large ice cube and stir for 18 to 20 seconds, then add a few more ice cubes.
Express the oil of an orange peel, then drop the peel in the glass.
*Strawberry-vanilla syrup: Add 1 cup water, 1 cup granulated sugar and the seeds scraped from 1 vanilla bean to a saucepan. Bring to a low simmer until the sugar dissolves, then add 2 cups sliced strawberries and simmer on low for 15 minutes. Remove from the heat, mash the strawberries and let cool. Strain out the solids and store the syrup in the refrigerator for up to 1 week.",https://www.liquor.com/recipes/bourbon-and-berries/,N/A
Zapatero,"['1 1/2 ounces mezcal', '1/2 ounce bourbon', '2 teaspoons orgeat', '1 dash bitters', '1 dash bitters', 'cinnamon', 'cranberry', 'orange twist']","Add the mezcal, bourbon, orgeat, Angostura bitters and Aztec chocolate bitters into a mixing glass with ice and stir until well-chilled.
Strain into an Old Fashioned glass over fresh ice.
Garnish with cinnamon, cranberry and an orange twist.",https://www.liquor.com/recipes/the-zapatero/,N/A
Brown Butter Old Fashioned,"['4 dashes bitters', '1/4 ounce brown sugar syrup', '1 orange peel', '1 Luxardo maraschino cherry', '2 ounces brown-butter-washed bourbon', '2 orange peels', 'Luxardo maraschino cherry']","In a rocks glass, muddle the bitters, brown sugar syrup, orange peel and cherry.
Add the bourbon and 1 large ice cube and stir until well-chilled
Garnish with an orange peel “rose” by rolling 2 swaths of orange peels with a Luxardo maraschino cherry inside.
*Brown-butter-washed bourbon: Slowly brown 1/2 cup unsalted butter in a saucepan until well-toasted with a nutty aroma. Remove from the heat and allow to cool. Pour a 750 mL bottle of Benchmark bourbon (or a bourbon of your choice) into a plastic container, and gently stir in the brown butter. Leave the mixture uncovered until completely cool and the butter has become firm and risen to the top of the container. Freeze the mixture, skim off solids, then strain through cheesecloth to remove all solids. Cover with lid, label and date. The bourbon will keep for a few weeks.
Añejo Old Fashioned: Uses aged tequila as the spirit and agave nectar as the sweetener.
Autumn Rum Old Fashioned: Calls for aged rum and apple cider syrup.
Oaxaca Old Fashioned: Uses a dual base of tequila and mezcal.
Wisconsin Old Fashioned: Subs brandy for whiskey, muddles orange slices and cherries, and tops with 7Up, Sprite or club soda.",https://www.liquor.com/recipes/brown-butter-old-fashioned/,N/A
Kentucky River,"['2 ounces bourbon', '1/2 ounce creme de cacao', '3 dashes bitters', 'lemon twist']","Add the bourbon, creme de cacao and bitters into a double Old Fashioned glass with a large 2-inch ice cube and stir until well-chilled.
Garnish with a lemon twist.",https://www.liquor.com/recipes/kentucky-river/,N/A
Expense of Honesty,"['1 ounce rum', '1 ounce bourbon', '1/2 ounce rum', '1 teaspoon sugar', '1 teaspoon honey', '1 dash bitters', '1 dash bitters', 'orange twist']","Add the Brugal rum, Old Forester bourbon, Arehucas Ron Miel Guanche rum, demerara sugar, honey, Angostura bitters and Peychaud’s bitters into a mixing glass with ice, and stir until well-chilled.
Strain into a rocks glass over a large ice cube.
Garnish by expressing an orange twist over the top of the drink and then dropping it in.",https://www.liquor.com/recipes/expense-of-honesty/,N/A
Forefathers,"['2 ounces bourbon', '2 teaspoons sweet tea oleo saccharum', '3 dashes peach bitters', 'orange peel']","Add the bourbon, sweet tea oleo saccharum and bitters into a mixing glass with ice and stir until well-chilled.
Strain into an Old Fashioned glass over a 2-inch ice cube.
Garnish with an orange peel.
*Sweet tea oleo saccharum: Peel 4 lemons and 2 oranges. Transfer the peels to a sealed bag and add 2 cups sugar. Toss peels and sugar to coat. Press bag to remove all air and seal to close. Let bag sit at room temperature for 24-48 hours until the citrus’ oils have dissolved the sugar. Open bag and pour mixture and into a saucepan. Add 1 1/2 cups unsweetened, chilled Red Diamond tea. Cook over medium-low heat for 10-15 minutes until sugar dissolves into tea and syrup forms. Pour mixture through strainer to remove peels. Cool and reserve until ready to use.",https://www.liquor.com/recipes/forefathers/,N/A
Pumpkin Spice Old Fashioned,"['1/2 ounce pumpkin syrup', '2 dashes bitters', '1 orange wedge', '2 ounces bourbon', '1 splash club soda (optional)', 'cinnamon stick']","Add the pumpkin syrup, orange bitters and orange wedge into an Old Fashioned glass and muddle.
Add the bourbon, a large ice cube and a splash of club soda (optional), and stir gently with the cinnamon stick to combine.
*Pumpkin syrup: Add 1 cup water and 3/4 cup light brown sugar to a saucepan and simmer until the sugar dissolves. Turn the heat to low and whisk in 3 teaspoons of pumpkin pie spice and 1/3 cup pumpkin puree. Simmer on low for 8 minutes, remove from heat, and allow to cool. Strain through a fine-mesh strainer, add 1 teaspoon vanilla extract, and store the syrup in the refrigerator in a container with a tightly fitting lid for up to 1 month.",https://www.liquor.com/recipes/pumpkin-spice-old-fashioned/,N/A
Normandie Old Fashioned,"['3 ounces coconut-infused bourbon*', '1/4 ounce Laird’s apple brandy', '1/4 ounce spiced almond demerara syrup**', '1 dash Angostura bitters', 'Garnish: dried apple slice']","Add the coconut-infused bourbon, apple brandy, spiced almond demerara syrup and bitters to a mixing glass with ice and stir until well-chilled.
Strain into a rocks glass over fresh ice.
Garnish with a dried apple slice.
*Coconut-infused bourbon: Toast 3 1/2 tablespoons coconut flakes over medium heat for 5 minutes or until slightly golden. Combine the flakes with a 750-mL bottle of bourbon and place in a hot water bath at 145°F for 2 hours. Remove from hot water bath, and place in an ice bath until cooled. Strain into a quart container and freeze for 24 hours, remove all solids, and rebottle.
**Spiced almond demerara syrup: Combine 3/4 cup plus 2 tablespoons demerara sugar and 7 tablespoons water in a saucepan over low heat, stirring until sugar is dissolved. Add 1 1/2 tablespoons sliced almonds, 1 teaspoon cinnamon bark and 1 pinch ground cloves. Simmer for 10 minutes, stirring occasionally. Remove from heat, allow to cool and strain out solids. Refrigerate between uses.",https://www.liquor.com/recipes/normandie-old-fashioned/,N/A
Dracarys,"['1 1/2 ounces ancho-chile-infused bourbon*', '1/2 ounce Amaro Montenegro', '2 ounces Llanllyr Source Fiery ginger beer', 'Garnish: lime wheel']","Pour all the ingredients into a double Old Fashioned glass with ice and stir.
Garnish with a lime wheel.
*Ancho-chile-infused bourbon: Slice up 3 large ancho chiles and place them into a jar along with 1 liter bourbon. Let set for 24 hours, then strain out solids.",https://www.liquor.com/recipes/dracarys/,N/A
Benton’s Old Fashioned,"['2 ounces fat-washed Four Roses bourbon', '1/4 ounce maple syrup', '2 dashes bitters', 'orange twist']","Add the fat-washed bourbon, maple syrup and bitters into a mixing glass with ice and stir until well-chilled.
Strain into a rocks glass over one large ice cube.
Express the oil of an orange twist over the cocktail and drop in the twist.
*Fat-washed Four Roses bourbon (from Jim Meehan’s “The PDT Cocktail Book”): In a cambro/container, combine 1 750 mL bottle of Four Roses bourbon and 1 1/2 ounces liquified fat from Benton’s Smoky Mountain country ham. Set aside for 4 hours to infuse. Place the container in the freezer for 2 hours. Take the container out of the freezer, and strain the bourbon from the solidified fat with terry cloth or cheesecloth.",https://www.liquor.com/recipes/bentons-old-fashioned/,N/A
Butter & Smoke,"['1 sprig thyme', '2 ounces pumpkin-butter-infused fat-washed bourbon', '1/2 ounce Tempus Fugit Gran Classico bitter aperitif', '5 dashes bitters', 'thyme sprig', 'cranberries']","Light a thyme sprig using a kitchen torch, place it inside a rocks glass, and set the rocks glass upside down on a granite countertop or other fireproof surface.
Add the remaining ingredients into a mixing glass with ice and stir until well-chilled.
Strain into the prepared glass over a large ice cube, and swirl to incorporate the smoke into the liquid.
Garnish with a thyme sprig and cranberries.
*Pumpkin-butter-infused fat-washed bourbon: Add 2 15-ounce cans of pumpkin puree, 2/3 cup coconut sugar or organic brown sugar, 1/4 cup Grade A maple syrup, 1/2 cup unsweetened apple juice, 1 tablespoon fresh lemon juice, 2 1/2 teaspoons pumpkin pie spice, 1/2 teaspoon ground cinnamon and a pinch of sea salt to a large saucepan or pot over medium-high heat and stir to combine. Once the mixture begins to bubble, reduce heat to low and simmer for 20 minutes, stirring occasionally. Remove from heat, let cool completely and transfer to a large glass container. (Keeps in refrigerator for up to 2 weeks.) Spread the pumpkin butter out on a large pan with a high rim. Pour a 750 mL bottle of bourbon on top, cover and let it infuse for an hour. Place the pan in the freezer to allow the alcohol to separate. Strain out the solids and return the infused bourbon to the empty bourbon bottle.",https://www.liquor.com/recipes/butter-and-smoke/,N/A
Hailey’s Comet,"['1 ounce peach-infused bourbon*', '3/4 ounce Pimm’s blackberry and elderflower liqueur', '3/4 ounce Giffard orgeat', '3/4 ounce lemon juice', '1 barspoon honey', 'Garnish: orgeat-chantilly cream**', 'Garnish: peach slices']","Add the peach-infused bourbon, Pimm’s liqueur, orgeat, lemon juice and honey into a blender with 1 cup of ice.
Pour into a stemmed beer glass or Collins glass, and top with a heaping spoonful of orgeat-chantilly cream.
Garnish with 3 fresh peach slices.
Serve with a straw.
*Peach-infused bourbon: Wash and remove the skins and pits from 3 ripe peaches and cut the peaches into large segments. Pour a 750 mL bottle of bourbon into a plastic container, add the peaches and let rest at room temperature for 24 to 48 hours. (The longer the better, but peach-flavor extraction will cease after 48 hours.) Strain out the solids through a cheesecloth and store the infused bourbon in the refrigerator for up to several weeks.
**Orgeat-chantilly cream: Combine 1 cup heavy whipping cream, 1/2 teaspoon vanilla extract and 1/2 cup Giffard orgeat in a bowl or stand mixer. Whip with a whisk or use a hand beater until stiff peaks form.",https://www.liquor.com/recipes/haileys-comet/,N/A
Brown Butter Old Fashioned,"['4 dashes bitters', '1/4 ounce brown sugar syrup', '1 orange peel', '1 Luxardo maraschino cherry', '2 ounces brown-butter-washed bourbon', '2 orange peels', 'Luxardo maraschino cherry']","In a rocks glass, muddle the bitters, brown sugar syrup, orange peel and cherry.
Add the bourbon and 1 large ice cube and stir until well-chilled
Garnish with an orange peel “rose” by rolling 2 swaths of orange peels with a Luxardo maraschino cherry inside.
*Brown-butter-washed bourbon: Slowly brown 1/2 cup unsalted butter in a saucepan until well-toasted with a nutty aroma. Remove from the heat and allow to cool. Pour a 750 mL bottle of Benchmark bourbon (or a bourbon of your choice) into a plastic container, and gently stir in the brown butter. Leave the mixture uncovered until completely cool and the butter has become firm and risen to the top of the container. Freeze the mixture, skim off solids, then strain through cheesecloth to remove all solids. Cover with lid, label and date. The bourbon will keep for a few weeks.
Añejo Old Fashioned: Uses aged tequila as the spirit and agave nectar as the sweetener.
Autumn Rum Old Fashioned: Calls for aged rum and apple cider syrup.
Oaxaca Old Fashioned: Uses a dual base of tequila and mezcal.
Wisconsin Old Fashioned: Subs brandy for whiskey, muddles orange slices and cherries, and tops with 7Up, Sprite or club soda.",https://www.liquor.com/recipes/brown-butter-old-fashioned/,N/A
Boiler Room,"['1 ounce bourbon', '1/2 ounce ginger liqueur (such as Domaine de Canton)', '1 1/2 ounces marigold tea, brewed and chilled', '1 ounce lemon juice, freshly squeezed', '1/2 ounce honey syrup', '3 ounces Belgian-style wheat beer (such as Allagash White), chilled', 'Garnish: lemon twist']","Add the bourbon, ginger liqueur, marigold tea, lemon juice and honey syrup into a pint glass filled with ice and stir to combine.
Top with the beer and stir again gently and briefly to combine.
Garnish with a long lemon twist.",https://www.liquor.com/boiler-room-cocktail-recipe-5189917,Bourbon Cocktails
Wassail Sour,"['1 1/2 ounces bourbon (or brandy)', '1/2 ounce lemon juice, freshly squeezed', '1/2 ounce orange juice, freshly squeezed', '1/2 ounce wassail syrup*', '2 dashes Angostura bitters', 'Garnish: lemon twist', 'Garnish: freshly grated nutmeg']","Add the bourbon, wassail syrup, lemon and orange juices, and bitters into a shaker with ice and shake until well-chilled.
Double-strain into a chilled coupe glass.
Express the oils from a lemon twist over the drink, then drop the twist into the glass.
Garnish with freshly grated nutmeg.
*Wassail syrup: Make Wassail as specified in recipe. After enjoying separately as desired, strain out and discard solids from leftover Wassail. Add to a pot and gently simmer to reduce for 5 minutes, then remove from heat and allow to cool before using.",https://www.liquor.com/wassail-sour-cocktail-recipe-5119080,Bourbon Cocktails
Peach Beer Julep,"['2 peach slices (or other stone fruit)', '2 ounces bourbon', '1/2 ounce syrup*', 'Garnish: mint sprigs']","Add the peach slices into a Julep cup and muddle.
Add the bourbon and IPA syrup and crushed ice, and swizzle with a bar spoon or swizzle stick.
Add more crushed ice and repeat until the Julep cup is 3/4 full.
Top with crushed ice to create a mounded effect.
Garnish with mint sprigs.
*IPA syrup: Add 1/2 cup IPA-style beer and 1/2 cup demerara sugar into a saucepan over medium-low heat, stirring until sugar has dissolved. Remove from heat and allow to cool. Will keep, refrigerated, for up to one week.",https://www.liquor.com/peach-beer-julep-cocktail-recipe-5116337,Bourbon Cocktails
Ward III Whiskey Sour,"['2 ounces bourbon', '1 ounce lemon juice', '3/4 ounce simple syrup', '1 egg white', '1 teaspoon red wine', 'maraschino cherry', 'orange wheel']","Add bourbon, lemon juice, simple syrup and egg white to a shaker and dry-shake (without ice) vigorously for 30 seconds.
Add ice and shake again until well-chilled.
Double-strain using a hand-held strainer into a chilled rocks glass over fresh ice.
Gently float the wine on top by drizzling it over the back of a bar spoon.
Garnish with a skewered maraschino cherry and orange wheel.
Consuming raw and lightly cooked eggs poses a risk of food-borne illness.",https://www.liquor.com/recipes/whiskey-sour-3/,N/A
Pine Pepper Crush,"['8 pineapple pieces (about the shape of small lime quarter)', '2 grinds black pepper', '1 3/4 ounces blanco tequila (such as Partida)', '1/4 ounce lime juice, freshly squeezed', '1/2 ounce agave nectar syrup (1 part agave nectar and 1 part water)', '1 ounce 10-year-old tawny port, to float', 'Garnish: Cracked black pepper']","In a shaker, muddle the pineapple and add two small grinds of black pepper.
Add the tequila, lime and agave nectar syrup with ice and shake until well-chilled.
Double-strain into a rocks glass over fresh ice.
Float the port on top.
Garnish with a twist of black pepper.",https://www.liquor.com/recipes/pine-pepper-crush/,N/A
West 75th,"['1 ounce Calvados', '1/2 ounce lemon juice, freshly squeezed', '1/4 ounce raspberry syrup*', '2 dashes Angostura orange bitters', '3 ounces Cleto Chiarli Pruno Nero lambrusco, chilled', 'Garnish: lemon twist']","Add the Calvados, lemon juice, raspberry syrup and orange bitters to a shaker with ice and shake until well-chilled.
Double-strain into a Champagne flute.
Slowly top with the lambrusco to create a layered effect.
Garnish with a lemon twist.
*Raspberry syrup: Add 1 cup sugar and 1 cup water into small saucepan. Bring mixture to boil, then simmer for 5 minutes or until sugar dissolves. Remove from heat and add 1 cup raspberries, mashing gently. Let mixture steep for 1 hour, then strain out solids. Store in refrigerator up to 1 week.",https://www.liquor.com/recipes/west-75th/,N/A
Bordeaux Sour,"['1 maraschino cherry', '1 tablespoon maple syrup', '2 ounces bourbon', '1 ounce red wine', '1 ounce lemon juice', '5 dashes bitters', 'maraschino cherry']","In a shaker, muddle the cherry and maple syrup.
Add the bourbon, red wine, lemon juice and orange bitters with ice, and shake until well-chilled.
Double-strain into a rocks glass over fresh ice.
Garnish with a maraschino cherry.",https://www.liquor.com/bordeaux-sour-cocktail-recipe-5075074,N/A
